"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Mar/22";"Fev/22";"Jan/22";"Competência";"Data de atualização"
"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330)";"Médico Hospitalar";"Médio";"93";"102";"   1,95";"   2,35";"   3,15";"202202";"17/03/2022 02:42:09"
"UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO (315796)";"Médico Hospitalar";"Médio";"183";"191";"   0,41";"   0,62";"   0,62";"202202";"17/03/2022 02:42:09"
"UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO. (371629)";"Médico Hospitalar";"Médio";"134";"175";"   0,95";"   1,14";"   0,95";"202202";"17/03/2022 02:42:09"
"UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO  (306100)";"Médico Hospitalar";"Médio";"190";"192";"   0,34";"   1,71";"   1,71";"202202";"17/03/2022 02:42:09"
"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561)";"Médico Hospitalar";"Médio";"148";"205";"   0,78";"   0,97";"   0,39";"202202";"17/03/2022 02:42:09"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562)";"Médico Hospitalar";"Médio";"160";"199";"   0,66";"   1,10";"   0,44";"202202";"17/03/2022 02:42:09"
"CIRCULO OPERARIO CAXIENSE (310247)";"Médico Hospitalar";"Médio";"185";"213";"   0,41";"   0,41";"   0,63";"202202";"17/03/2022 02:42:09"
"QSAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA. (421669)";"Médico Hospitalar";"Pequeno";"23";"30";"  22,00";"  26,65";"  20,15";"202202";"17/03/2022 02:42:09"
"UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (414573)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"  13,65";"  13,71";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854)";"Médico Hospitalar";"Pequeno";"41";"40";"   8,38";"  12,40";"  13,72";"202202";"17/03/2022 02:42:09"
"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226)";"Médico Hospitalar";"Pequeno";"50";"56";"   5,97";"  11,73";"  17,45";"202202";"17/03/2022 02:42:09"
"DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA. (349682)";"Médico Hospitalar";"Grande";"64";"64";"   1,80";"   2,35";"   2,94";"202202";"17/03/2022 02:42:09"
"UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO (343269)";"Médico Hospitalar";"Grande";"78";"79";"   0,76";"   1,30";"   1,64";"202202";"17/03/2022 02:42:09"
"SAUDE - SISTEMA ASSISTENCIAL UNIFICADO DE EMPRESAS - SOCIEDADE SIMPLES (410047)";"Médico Hospitalar";"Médio";"10";"10";"  14,83";"  19,06";"  19,06";"202202";"17/03/2022 02:42:09"
"UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA. (335479)";"Médico Hospitalar";"Médio";"23";"24";"   8,32";"  11,33";"  12,52";"202202";"17/03/2022 02:42:09"
"ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL (342611)";"Médico Hospitalar";"Médio";"52";"52";"   4,49";"   8,18";"  11,18";"202202";"17/03/2022 02:42:09"
"UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO (359289)";"Médico Hospitalar";"Médio";"39";"46";"   5,79";"   7,06";"   8,66";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530)";"Médico Hospitalar";"Médio";"31";"48";"   6,57";"   8,63";"   7,62";"202202";"17/03/2022 02:42:09"
"UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA (384577)";"Médico Hospitalar";"Médio";"59";"77";"   3,86";"   4,07";"   4,10";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO BRASILEIRA DE ASSISTÊNCIA ODONTOLOGICA DE GRUPO - DENTAL MED CENTER (413941)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"   0,65";"202202";"17/03/2022 02:42:09"
"S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL (324493)";"Médico Hospitalar";"Médio";"136";"127";"   0,92";"   1,84";"   2,30";"202202";"17/03/2022 02:42:09"
"SIM - CAIXA DE ASSISTÊNCIA À SAÚDE (356476)";"Médico Hospitalar";"Médio";"133";"128";"   0,95";"   1,90";"   2,35";"202202";"17/03/2022 02:42:09"
"MAIS SAÚDE PLANO DE SAÚDE LTDA (415065)";"Médico Hospitalar";"Pequeno";"43";"46";"   7,53";"   9,39";"  10,74";"202202";"17/03/2022 02:42:09"
"ATÍVIA SERVIÇOS DE SAÚDE S/A (320510)";"Médico Hospitalar";"Médio";"42";"53";"   5,59";"   7,30";"   9,46";"202202";"17/03/2022 02:42:09"
"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   4,33";"202202";"17/03/2022 02:42:09"
"CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   6,86";"202202";"17/03/2022 02:42:09"
"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP (421731)";"Médico Hospitalar";"Pequeno";"45";"55";"   7,11";"   7,87";"  10,31";"202202";"17/03/2022 02:42:09"
"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626)";"Médico Hospitalar";"Pequeno";"111";"125";"   1,77";"   2,64";"   2,64";"202202";"17/03/2022 02:42:09"
"ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA (407534)";"Médico Hospitalar";"Pequeno";"141";"149";"   1,14";"   3,40";"   4,49";"202202";"17/03/2022 02:42:09"
"UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO (358169)";"Médico Hospitalar";"Pequeno";"89";"99";"   2,58";"   5,10";"   5,10";"202202";"17/03/2022 02:42:09"
"NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP (352888)";"Médico Hospitalar";"Pequeno";"44";"73";"   7,50";"   7,53";"   7,51";"202202";"17/03/2022 02:42:09"
"S1 OPERADORA DE PLANO DE SAÚDE LTDA (420981)";"Médico Hospitalar";"Pequeno";"68";"78";"   4,10";"   5,13";"   5,22";"202202";"17/03/2022 02:42:09"
"UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA (313955)";"Médico Hospitalar";"Pequeno";"181";"183";"0,00";"   5,51";"   5,67";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL (421341)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   0,79";"202202";"17/03/2022 02:42:09"
"UNIMED ANDRADAS COOPERATIVA DE TRABALHO MÉDICO (352861)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO (313149)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   1,71";"202202";"17/03/2022 02:42:09"
"UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386)";"Médico Hospitalar";"Pequeno";"61";"67";"   4,55";"   7,61";"   7,61";"202202";"17/03/2022 02:42:09"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"   1,40";"   1,41";"202202";"17/03/2022 02:42:09"
"UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO (302228)";"Médico Hospitalar";"Pequeno";"132";"186";"   1,35";"   1,36";"   1,36";"202202";"17/03/2022 02:42:09"
"COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA (317012)";"Médico Hospitalar";"Médio";"169";"193";"   0,49";"   0,50";"   0,50";"202202";"17/03/2022 02:42:09"
"UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO (357391)";"Médico Hospitalar";"Grande";"28";"30";"   6,01";"   7,54";"   8,12";"202202";"17/03/2022 02:42:09"
"GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA (309222)";"Médico Hospitalar";"Grande";"41";"41";"   4,14";"   5,60";"   6,58";"202202";"17/03/2022 02:42:09"
"UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS (304701)";"Médico Hospitalar";"Grande";"37";"40";"   4,45";"   6,10";"   6,54";"202202";"17/03/2022 02:42:09"
"UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO (303976)";"Médico Hospitalar";"Grande";"38";"39";"   4,31";"   6,24";"   6,64";"202202";"17/03/2022 02:42:09"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"47";"48";"   3,30";"   4,22";"   4,34";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS (422631)";"Médico Hospitalar";"Grande";"30";"30";"   5,62";"   8,20";"   9,22";"202202";"17/03/2022 02:42:09"
"UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (348261)";"Médico Hospitalar";"Pequeno";"175";"191";"   0,52";"   1,05";"   1,06";"202202";"17/03/2022 02:42:09"
"UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO (337498)";"Médico Hospitalar";"Pequeno";"108";"115";"   1,97";"   2,66";"   3,34";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"   1,95";"   3,24";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   1,22";"202202";"17/03/2022 02:42:09"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"   1,02";"202202";"17/03/2022 02:42:09"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"LIODONTO PLANOS DE ASSISTENCIA E SERVICOS ODONTOLOGICOS EIRELI (422851)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"NOVA ODONTO LTDA. (422665)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"MAIS SAÚDE PLANOS MÉDICOS E ODONTOLÓGICOS LTDA  (420051)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"   4,73";"   7,09";"202202";"17/03/2022 02:42:09"
"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805)";"Médico Hospitalar";"Pequeno";"93";"104";"   2,50";"   2,52";"   2,52";"202202";"17/03/2022 02:42:09"
"UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (301744)";"Médico Hospitalar";"Pequeno";"173";"189";"   0,52";"   1,58";"   1,58";"202202";"17/03/2022 02:42:09"
"UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA. (343684)";"Médico Hospitalar";"Pequeno";"157";"186";"   0,78";"   0,78";"0,00";"202202";"17/03/2022 02:42:09"
"SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310)";"Médico Hospitalar";"Pequeno";"150";"183";"   0,93";"   0,94";"   0,94";"202202";"17/03/2022 02:42:09"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"DANA INDUSTRIAS LTDA. (416118)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CENIBRA LOGÍSTICA LTDA (422436)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"   0,83";"   0,83";"202202";"17/03/2022 02:42:09"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"116";"128";"   1,64";"   3,27";"   3,27";"202202";"17/03/2022 02:42:09"
"CLÍNICA SÃO GABRIEL S/S LTDA (415944)";"Médico Hospitalar";"Pequeno";"181";"196";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"17";"18";"   0,04";"   0,15";"   0,18";"202202";"17/03/2022 02:42:09"
"UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO (313751)";"Odontológica";"Grande";"11";"16";"   0,13";"   0,13";"   0,06";"202202";"17/03/2022 02:42:09"
"ZURICH SANTANDER BRASIL ODONTO LTDA. (419354)";"Odontológica";"Médio";"1";"4";"   1,00";"   1,35";"   1,81";"202202";"17/03/2022 02:42:09"
"UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA. (311391)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA (346004)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ME (417131)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ODONTOCLINICA RCC LTDA. S/S (418111)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIODONTO DE MONTE ALTO COOPERATIVA ODONTOLOGICA (336238)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIODONTO SÃO JOSÉ DO RIO PRETO - COOPERATIVA ODONTOLÓGICA (303259)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA (420743)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIODONTO DE LIMEIRA COOPERATIVA ODONTOLÓGICA (369462)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"PREVINA ODONTOLOGIA LTDA (403636)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIVERSAL PLANO ODONTOLOGICO LTDA (413348)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"SISTEMA 1 SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR (418790)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"   1,80";"202202";"17/03/2022 02:42:09"
"UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA (305421)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"UNIODONTO DE RIO CLARO COOPERATIVA ODONTOLOGICA (349011)";"Odontológica";"Pequeno";"6";"9";"0,00";"0,00";"0,00";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141)";"Médico Hospitalar";"Médio";"84";"81";"   2,46";"   4,20";"   5,23";"202202";"17/03/2022 02:42:09"
"2CARE OPERADORA DE SAÚDE LTDA. (421421)";"Médico Hospitalar";"Médio";"98";"154";"   1,82";"   2,19";"   1,46";"202202";"17/03/2022 02:42:09"
"LIFE EMPRESARIAL SAÚDE LTDA. (414492)";"Médico Hospitalar";"Médio";"109";"159";"   1,45";"   1,45";"   1,44";"202202";"17/03/2022 02:42:09"
"UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO (369292)";"Médico Hospitalar";"Médio";"150";"144";"   0,76";"   1,45";"   2,28";"202202";"17/03/2022 02:42:09"
"UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS (328294)";"Médico Hospitalar";"Médio";"173";"207";"   0,47";"   0,70";"   0,71";"202202";"17/03/2022 02:42:09"
"FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST (330809)";"Médico Hospitalar";"Médio";"203";"221";"0,00";"0,00";"   0,39";"202202";"17/03/2022 02:42:09"
"UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO (304468)";"Médico Hospitalar";"Médio";"95";"104";"   1,84";"   2,33";"   2,35";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873)";"Médico Hospitalar";"Médio";"168";"211";"   0,49";"   2,44";"   2,92";"202202";"17/03/2022 02:42:09"
"SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091)";"Médico Hospitalar";"Médio";"175";"187";"   0,47";"   0,92";"   0,93";"202202";"17/03/2022 02:42:09"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"128";"153";"   1,09";"   1,25";"   1,54";"202202";"17/03/2022 02:42:09"
"UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (358088)";"Médico Hospitalar";"Médio";"138";"156";"   0,87";"   1,51";"   1,30";"202202";"17/03/2022 02:42:09"
"PRO SALUTE SERVIÇOS PARA A SAÚDE LTDA. (369373)";"Médico Hospitalar";"Médio";"203";"203";"0,00";"   0,71";"   1,80";"202202";"17/03/2022 02:42:09"
"UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO (311847)";"Médico Hospitalar";"Médio";"198";"178";"   0,25";"   0,99";"   1,12";"202202";"17/03/2022 02:42:09"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"203";"206";"0,00";"   0,52";"   0,77";"202202";"17/03/2022 02:42:09"
"INSTITUTO CURITIBA DE SAÚDE (419010)";"Médico Hospitalar";"Médio";"159";"189";"   0,66";"   0,92";"   0,92";"202202";"17/03/2022 02:42:09"
"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662)";"Médico Hospitalar";"Médio";"112";"124";"   1,40";"   2,09";"   2,09";"202202";"17/03/2022 02:42:09"
"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574)";"Médico Hospitalar";"Médio";"142";"162";"   0,84";"   1,27";"   1,29";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556)";"Médico Hospitalar";"Médio";"170";"180";"   0,48";"   1,13";"   1,29";"202202";"17/03/2022 02:42:09"
"SERMED-SAÚDE LTDA. (303739)";"Médico Hospitalar";"Médio";"144";"211";"   0,84";"   1,02";"   1,36";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584)";"Médico Hospitalar";"Médio";"203";"221";"0,00";"0,00";"   0,46";"202202";"17/03/2022 02:42:09"
"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"   0,55";"   0,56";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568)";"Médico Hospitalar";"Médio";"202";"220";"   0,14";"   0,14";"   0,14";"202202";"17/03/2022 02:42:09"
"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031)";"Médico Hospitalar";"Médio";"203";"211";"0,00";"   0,48";"   0,48";"202202";"17/03/2022 02:42:09"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"3";"186";" 155,44";" 154,64";" 103,63";"202202";"17/03/2022 02:42:09"
"HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834)";"Médico Hospitalar";"Pequeno";"10";"186";"  58,65";"  58,65";"  43,99";"202202";"17/03/2022 02:42:09"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Pequeno";"29";"31";"  16,66";"  20,23";"  19,22";"202202";"17/03/2022 02:42:09"
"ÚNICA ASSISTENCIA MEDICA LTDA  (421944)";"Médico Hospitalar";"Pequeno";"24";"24";"  21,91";"  26,24";"  27,43";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"37";"39";"  10,45";"  12,68";"  12,59";"202202";"17/03/2022 02:42:09"
"OMINT SERVIÇOS DE SAÚDE LTDA. (359661)";"Médico Hospitalar";"Grande";"66";"67";"   1,72";"   2,64";"   2,72";"202202";"17/03/2022 02:42:09"
"UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO (343889)";"Médico Hospitalar";"Grande";"59";"60";"   2,15";"   2,61";"   2,91";"202202";"17/03/2022 02:42:09"
"SAMEL PLANO DE SAÚDE LTDA (367095)";"Médico Hospitalar";"Grande";"80";"84";"   0,68";"   1,92";"   2,46";"202202";"17/03/2022 02:42:09"
"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534)";"Médico Hospitalar";"Grande";"74";"77";"   1,11";"   1,37";"   1,46";"202202";"17/03/2022 02:42:09"
"UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA. (325571)";"Médico Hospitalar";"Grande";"85";"85";"   0,49";"   0,63";"   0,63";"202202";"17/03/2022 02:42:09"
"BRF S/A (417238)";"Médico Hospitalar";"Grande";"87";"88";"   0,28";"   0,28";"   0,28";"202202";"17/03/2022 02:42:09"
"SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA. (421154)";"Médico Hospitalar";"Médio";"3";"5";"  25,31";"  31,19";"  28,16";"202202";"17/03/2022 02:42:09"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"19";"19";"   9,51";"  13,35";"  15,50";"202202";"17/03/2022 02:42:09"
"GARANTIA DE SAÚDE LTDA (343064)";"Médico Hospitalar";"Pequeno";"34";"19";"  12,85";"  15,28";"  13,72";"202202";"17/03/2022 02:42:09"
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331)";"Médico Hospitalar";"Médio";"53";"49";"   4,49";"  11,70";"  12,07";"202202";"17/03/2022 02:42:09"
"CABERJ INTEGRAL SAÚDE S.A (415774)";"Médico Hospitalar";"Médio";"38";"40";"   5,92";"  11,22";"  14,33";"202202";"17/03/2022 02:42:09"
"UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683)";"Médico Hospitalar";"Médio";"62";"64";"   3,76";"   7,30";"   7,93";"202202";"17/03/2022 02:42:09"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Médio";"43";"53";"   5,29";"   7,05";"   7,87";"202202";"17/03/2022 02:42:09"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"40";"44";"   5,77";"   7,29";"   7,26";"202202";"17/03/2022 02:42:09"
